osm_id,name,lat,lon,region,federal_district,cluster,cluster_name,dist_to_region_center_km,dist_to_moscow_km,federal_district_code,gps_density_5km,grp_per_capita_2021,population_2021,urban_pct
600514160,Тихоньская основная школа,50.2040641,85.7979058,Gorno-Altay,СФО,6,Кластер 7,93.53619361163123,3215.7591241269733,7,0,264,220,28
600701962,Берёзовская средняя общеобразовательная школа,51.8379817,84.0520858,Altay,СФО,6,Кластер 7,76.02492402516525,3022.043172195974,7,0,278,2298,58
600997581,Тумановская средняя общеобразовательная школа,51.5964107,84.6416169,Altay,СФО,6,Кластер 7,122.37669821598392,3070.430379831074,7,0,278,2298,58
602233484,Черновская основная общеобразовательная школа,51.9671422,84.7564068,Altay,СФО,6,Кластер 7,123.01689724744774,3058.7216452477765,7,26,278,2298,58
603139829,Тальменская основная общеобразовательная школа,51.634307,84.1181155,Altay,СФО,6,Кластер 7,87.28987138114906,3036.3671394193234,7,0,278,2298,58
604046551,Малобащелакская средняя общеобразовательная школа,51.4915963,83.8168309,Altay,СФО,6,Кластер 7,78.44075469580292,3025.115329214111,7,0,278,2298,58
604687807,Боровлянская начальная общеобразовательная школа,51.4053625,83.7546081,Altay,СФО,6,Кластер 7,82.19552987349998,3025.6997280197565,7,0,278,2298,58
606056550,Красноануйская основная общеобразовательная школа,51.6659228,84.2750797,Altay,СФО,6,Кластер 7,95.9596381420627,3044.399516055267,7,1003,278,2298,58
606148360,Солонешенская средняя школа,51.6571158,84.3165839,Altay,СФО,6,Кластер 7,98.9844270454105,3047.3937010707714,7,1003,278,2298,58
607101951,Верх-Уймонская школа,50.2146048,85.7330245,Gorno-Altay,СФО,6,Кластер 7,96.58024901491396,3211.171170089062,7,0,264,220,28
608036287,Лютаевская средняя общеобразовательная школа,51.8879474,84.4246309,Altay,СФО,6,Кластер 7,100.66285632469592,3042.375243652842,7,83,278,2298,58
608436855,Солоновская средняя общеобразовательная школа им. А.П. Матрёнина,52.007521,84.6255505,Altay,СФО,6,Кластер 7,114.13349604528032,3048.698959467532,7,186,278,2298,58
608538400,Средняя школа,61.1013988,77.1683442,Khanty-Mansiy,УФО,0,Кластер 1,438.4387501155507,2338.425055904602,6,0,2396,1694,92
609562923,Школа № 6,56.2669047,90.4942828,Krasnoyarsk,СФО,4,Кластер 5,148.8349627176052,3205.5840303347836,7,49080,884,2866,77
609983719,Заринская общеобразовательная школа № 15,53.697514,84.9186757,Altay,СФО,6,Кластер 7,233.98033756756112,2986.5076882358017,7,18695,278,2298,58
609983732,Заринская общеобразовательная школа-интернат,53.696049,84.9194901,Altay,СФО,6,Кластер 7,233.8776524002912,2986.62234942956,7,18695,278,2298,58
610015133,Центр детского творчества,53.6991329,84.9197861,Altay,СФО,6,Кластер 7,234.16973974374537,2986.5021382943473,7,18695,278,2298,58
610027642,Заринская Средняя общеобразовательная школа № 2,53.7074401,84.9271045,Altay,СФО,6,Кластер 7,235.2028035231064,2986.5713995750507,7,18695,278,2298,58
610035437,Станция юных натуралистов,53.707156,84.9396801,Altay,СФО,6,Кластер 7,235.65212298776143,2987.341845830666,7,18695,278,2298,58
610283469,Батунская начальная общеобразовательная школа,53.6644127,84.8167987,Altay,СФО,6,Кластер 7,227.14557395768475,2981.8490236428083,7,1941,278,2298,58
